date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:41	721765/721765	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:41%20GMT	https://www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/index.html	(from https://www.viabcp.com/)
19:36:41	83265/83265	---MCZ	200	added ('OK')	text/css	etag:W/%22-1685610139%22	https://www.viabcp.com/wcm/connect/resources/userstories/css/bcp-estilo-plantillas.css?subtype=css	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/wcm/connect/resources/userstories/css/bcp-estilo-plantillas2de9.css	(from https://www.viabcp.com/)
19:36:42	31459/31459	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:41%20GMT	https://www.viabcp.com/navegador-soportado	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/navegador-soportado.html	(from https://www.viabcp.com/)
19:36:42	721777/721777	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:42%20GMT	https://www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/dz/d5/L2dJQSEvUUt3QS80TmxFL1o2XzAwNjRJM1MwTU9TQzQwQVJNTDFUMTQwMDE0/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YO/dz/d5/L2dJQSEvUUt3QS80TmxFL1o2XzAwNjRJM1MwTU9TQzQwQVJ/index.html	(from https://www.viabcp.com/)
19:36:42	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2009%20Nov%202022%2000:32:25%20GMT	https://www.googleanalytics.com/analytics.js	C:/My%20Web%20Sites/PAGINA%20BCP/www.googleanalytics.com/analytics.a.delayed	(from https://www.viabcp.com/)
19:36:42	721765/721765	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:42%20GMT	https://www.viabcp.com/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDVCAo4FTkJGTsYGBu7-RfkG2oyIA9vdYew!!/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z0/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDVCAo4FTkJGTsYGBu7-RfkG2oyIA9vdYew!!/index.html	(from https://www.viabcp.com/)
19:36:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2009%20Nov%202022%2000:36:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/PAGINA%20BCP/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.viabcp.com/)
19:36:43	339624/339624	---M-Z	200	added ('OK')	application/x-javascript	etag:%220761da3092628890a933776dfb0084e9:1660332949.89361%22	https://assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-fbfae29dbcea-development.min.js	C:/My%20Web%20Sites/PAGINA%20BCP/assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-fbfae29dbcea-development.min.js	(from https://www.viabcp.com/)
19:36:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Oct%202022%2001:03:08%20GMT	https://www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/OPR/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/!ut/p/z1/04_Sj9CPykssy0xPLMnMz0vMAfIjo8ziDQzMTDyNgw18_YOdTQwcg3x9DEMMTQwMDE30wwkpiAJLYweOBkD9UViUOBo4BRk5GRsYuPsbYVWAYkZBboRBpqOiIgDSDY44/OPR/index.html	(from https://www.viabcp.com/)
19:36:44	338544/338544	---M-Z	200	added ('OK')	application/x-javascript	etag:%2260efc943deb6e8893dfe8164721015f7:1663598413.665376%22	https://assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-7a1cb1284592.min.js	C:/My%20Web%20Sites/PAGINA%20BCP/assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-7a1cb1284592.min.js	(from https://www.viabcp.com/)
19:36:44	327919/327919	---MCZ	200	added ('OK')	application/x-javascript	etag:%22316a923d28f1c22571d49325badc54c3:1642779767.768299%22	https://assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-19aa0081eb14-staging.min.js	C:/My%20Web%20Sites/PAGINA%20BCP/assets.adobedtm.com/06a50d0f42e4/13d6f78363e9/launch-19aa0081eb14-staging.min.js	(from https://www.viabcp.com/)
19:36:44	617541/617541	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:44%20GMT	https://www.viabcp.com/canales-presenciales	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/canales-presenciales.html	(from https://www.viabcp.com/)
19:36:46	814884/814884	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:45%20GMT	https://www.viabcp.com/creditos/credito-efectivo/prestamo-personal-bcp	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-efectivo/prestamo-personal-bcp.html	(from https://www.viabcp.com/)
19:36:46	721919/721919	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:45%20GMT	https://www.viabcp.com/quechua	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/quechua.html	(from https://www.viabcp.com/)
19:36:46	699328/699328	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:45%20GMT	https://www.viabcp.com/creditos/credito-efectivo/garantia-liquida	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-efectivo/garantia-liquida.html	(from https://www.viabcp.com/)
19:36:46	706891/706891	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:46%20GMT	https://www.viabcp.com/creditos/credito-efectivo/credito-convenios	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-efectivo/credito-convenios.html	(from https://www.viabcp.com/)
19:36:47	745037/745037	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:44%20GMT	https://www.viabcp.com/transparencia/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/transparencia/index.html	(from https://www.viabcp.com/)
19:36:47	703159/703159	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:46%20GMT	https://www.viabcp.com/creditos/credito-efectivo/garantia-hipotecaria	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-efectivo/garantia-hipotecaria.html	(from https://www.viabcp.com/)
19:36:47	700492/700492	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:46%20GMT	https://www.viabcp.com/creditos/credito-efectivo/garantia-hipotecaria-compartida	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-efectivo/garantia-hipotecaria-compartida.html	(from https://www.viabcp.com/)
19:36:48	863185/863185	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:47%20GMT	https://www.viabcp.com/creditos/credito-hipotecario/tradicional	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-hipotecario/tradicional.html	(from https://www.viabcp.com/)
19:36:48	694589/694589	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:47%20GMT	https://www.viabcp.com/creditos/credito-hipotecario/simulador-credito-hipotecario	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-hipotecario/simulador-credito-hipotecario.html	(from https://www.viabcp.com/)
19:36:48	855765/855765	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:47%20GMT	https://www.viabcp.com/creditos/credito-hipotecario/nuevo-credito-mivivienda	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-hipotecario/nuevo-credito-mivivienda.html	(from https://www.viabcp.com/)
19:36:49	732247/732247	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:48%20GMT	https://www.viabcp.com/creditos/credito-vehicular/tradicional	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-vehicular/tradicional.html	(from https://www.viabcp.com/)
19:36:49	729536/729536	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:49%20GMT	https://www.viabcp.com/creditos/credito-vehicular/vehicular-autousado	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-vehicular/vehicular-autousado.html	(from https://www.viabcp.com/)
19:36:50	731168/731168	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:49%20GMT	https://www.viabcp.com/creditos/credito-vehicular/compra-inteligente	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-vehicular/compra-inteligente.html	(from https://www.viabcp.com/)
